	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
GCST90301967_EFO_0009767	0.206955	1.0445	58529.0	17.0	0.00820355	9.453142559259259	47.5	1400.5	51.808499999999995	1.0288	Common
GCST90018887_EFO_0003882	0.29829	0.6755	108747.0	15.5	0.04281565	12.494189988888888	42.0	1721.0	44.2525	1.105	Common
GCST000425_MONDO_0005301	-0.42012	0.756	56505.0	17.0	0.0155373	15.330176851851848	54.0	741.0	38.524	0.1749	Common
GCST90451691_EFO_0006788	-0.3302	0.813	200999.0	17.0	0.034206	3.1921945555555555	19.0	1620.0	40.01	1.1375555555555554	Common
GCST90269693_EFO_0022253	-0.053927	0.7829999999999999	64367.5	17.0	0.01922725	13.130353481481478	52.5	1694.0	67.74799999999999	1.026	Common
GCST90269738_EFO_0022251	0.25463	0.664	80810.0	17.0	0.0265279	13.120146296296296	52.0	1528.0	66.434	1.026	Common
GCST004146_EFO_0000095	0.4425	0.745	75792.0	28.0	0.0231887	8.709685418518516	39.0	1174.0	38.904	0.5601818181818182	Common
GCST002481_EFO_0003894	0.61886	0.63	103467.0	3.0	0.0515679	11.147573294444445	41.5	1518.0	51.663	1.138	Common
GCST90019522_EFO_0004536	0.07122500000000001	0.6925	57173.0	17.0	0.0245964	10.765176592592594	52.0	1465.0	49.1275	1.026	Common
GCST90292534_EFO_0004238	-0.036059	0.604	79508.0	18.0	0.0459485	19.51566646666667	53.0	2746.0	75.693	1.026	Common
GCST90018922_EFO_0007490	-0.12651	0.647	320046.0	16.0	0.0428237	11.824516161111116	46.0	1651.0	52.178	1.1231666666666664	Common
GCST007091_EFO_1000786	-0.111791	0.717	97006.5	15.5	0.0374974	5.077435818518519	41.5	1701.5	72.1305	1.049	Common
GCST90269656_EFO_0022189	0.15471000000000001	0.8425	77592.0	16.5	0.01824675	11.709219518518518	52.0	1401.5	54.926	1.026	Common
GCST90302061_EFO_0022269	0.077791	0.895	111110.5	14.0	0.014064545	9.650770453703705	53.0	1360.5	52.415	1.026	Common
