Entrez	post_mean	log_post_mean
64783	0.212662	0.6723101060760196
50810	0.212767	0.6720957298979698
2705	0.212784	0.6720610313250783
139886	0.212848	0.6719304262622481
6161	0.212869	0.6718875800328169
7916	0.212977	0.6716672947416499
9892	0.213016	0.6715877747268066
28996	0.21319	0.671233170408475
6326	0.213403	0.6707994795962361
775	0.213503	0.6705960181832569
255967	0.213972	0.6696430539456352
159296	0.214251	0.6690771423640717
134553	0.214331	0.6689150097548824
51343	0.214767	0.6680324493175271
5689	0.214972	0.6676181030490086
8409	0.215154	0.6672505753923517
2771	0.215223	0.6671113192540911
55252	0.215241	0.6670749989082373
9611	0.215254	0.6670487694362738
55294	0.215296	0.6669640388902383
382	0.215676	0.6661981796423477
10109	0.215686	0.6661780436784946
126364	0.21581	0.665928435259235
57057	0.21583	0.6658881892688527
3726	0.215837	0.6658741040532881
54521	0.215949	0.6656488027092702
2258	0.216143	0.6652588249492073
4116	0.216278	0.6649876551542078
10193	0.216293	0.6649575356259401
23196	0.216325	0.6648932876129298
3021	0.216458	0.6646263586073473
221833	0.216619	0.6643034533742938
254263	0.216676	0.6641891904097487
3727	0.21687	0.6638005205333682
10714	0.216941	0.6636583622732483
84629	0.216949	0.6636423473576908
11044	0.217045	0.6634502144206331
7280	0.217098	0.6633441774344085
23036	0.217299	0.6629422722781004
55190	0.217344	0.6628523444441977
6748	0.217354	0.6628323630096395
9314	0.217357	0.6628263687585361
166968	0.217395	0.6627504487381366
51371	0.217397	0.6627464533152041
92312	0.217483	0.6625746848920504
6658	0.217582	0.6623770355548225
57092	0.217592	0.662357075976264
7403	0.217981	0.661581359398904
23414	0.218012	0.6615196009350677
57507	0.218027	0.6614897209599686
1386	0.218057	0.6614299671763963
546	0.218455	0.6606380107046577
54861	0.218463	0.6606221067782659
81688	0.218518	0.660512783047345
22907	0.218786	0.6599804717228591
1290	0.218955	0.6596451329216582
9739	0.218994	0.6595677838018338
10725	0.219041	0.6594745864969253
55609	0.219263	0.6590346480832802
55691	0.219264	0.6590326673866211
9130	0.219278	0.6590049385818604
56159	0.219375	0.6588128661901007
79002	0.219663	0.6582430894111945
23529	0.219773	0.6580256634651765
1196	0.219872	0.6578300731391856
57580	0.220049	0.657480600722798
56257	0.220049	0.657480600722798
23708	0.220253	0.6570781674808517
59353	0.220344	0.6568987708966028
64067	0.220656	0.6562842588741031
10479	0.220853	0.6558966970413307
1462	0.221012	0.6555841453542632
387	0.22108	0.6554505440902625
23154	0.221103	0.6554053647274521
3312	0.221251	0.6551147577216604
403341	0.221318	0.6549832630597667
25842	0.221325	0.6549695271083404
53344	0.221696	0.6542421426708038
2717	0.221788	0.6540619553679552
56163	0.221832	0.6539758052517909
7203	0.221854	0.6539327366013954
1778	0.221862	0.653917076332865
4086	0.22207	0.6535101074329157
10135	0.222162	0.6533302235303318
55658	0.222301	0.6530585836640095
23499	0.222374	0.6529159918949029
63935	0.222478	0.6527129282830013
10933	0.223192	0.6513213761238905
57448	0.223323	0.6510665467060137
64061	0.223339	0.6510354327464047
56853	0.223514	0.6506952692554197
2775	0.224178	0.649407009704503
25	0.224242	0.6492830417858976
6709	0.22436	0.6490545686625209
10979	0.224369	0.6490371476786413
